,DateTime,Time,EX,SYM_ROOT,BID,BIDSIZ,ASK,ASKSIZ,NATBBO_IND,QU_COND
28629,2018-01-04,09:34:36.615145,K,AAPL,172.8,22,172.83,5,0,R
28630,2018-01-04,09:34:36.615170,Q,AAPL,172.81,1,172.82,1,2,R
28631,2018-01-04,09:34:36.615184,P,AAPL,172.8,1,172.84,1,2,R
28632,2018-01-04,09:34:36.615214,B,AAPL,172.8,1,172.84,2,0,R
28633,2018-01-04,09:34:36.615231,Z,AAPL,172.79,4,172.83,7,0,R
28634,2018-01-04,09:34:36.615246,P,AAPL,172.8,1,172.83,1,0,R
28635,2018-01-04,09:34:36.615315,P,AAPL,172.8,1,172.83,2,0,R
28636,2018-01-04,09:34:36.616123,Z,AAPL,172.79,4,172.83,6,0,R
28637,2018-01-04,09:34:36.617844,J,AAPL,172.81,1,173.1,1,0,R
28638,2018-01-04,09:34:36.617920,Z,AAPL,172.79,4,172.83,2,0,R
28639,2018-01-04,09:34:36.617925,Z,AAPL,172.79,4,172.83,1,0,R
28640,2018-01-04,09:34:36.617993,Z,AAPL,172.79,4,172.84,5,0,R
28641,2018-01-04,09:34:36.618013,K,AAPL,172.8,22,172.83,1,0,R
28642,2018-01-04,09:34:36.618091,K,AAPL,172.8,22,172.84,7,0,R
28643,2018-01-04,09:34:36.618569,Q,AAPL,172.8,3,172.82,1,2,R
28644,2018-01-04,09:34:36.618592,Q,AAPL,172.8,3,172.82,2,2,R
28645,2018-01-04,09:34:36.618595,Q,AAPL,172.8,3,172.82,3,2,R
28646,2018-01-04,09:34:36.618865,K,AAPL,172.81,1,172.84,7,0,R
28647,2018-01-04,09:34:36.619296,P,AAPL,172.8,1,172.82,1,0,R
28648,2018-01-04,09:34:36.632725,Q,AAPL,172.8,3,172.82,2,2,R
28649,2018-01-04,09:34:36.632759,Q,AAPL,172.8,3,172.82,1,2,R
28650,2018-01-04,09:34:36.633442,P,AAPL,172.8,1,172.83,2,0,R
